scenario,model.parameter,distribution,par1,par2
rockland_low_coverage,prop_susceptible,beta,23.33963494,34.58764306
rockland_low_coverage,prop_refractory,beta,4.547134578,43.83519682
rockland_low_coverage,relative_infectiousness,beta,5.901470237,32.76265599
rockland_low_coverage,susceptible_generation_interval_shape,norm,2.472736915,0.423464162
rockland_low_coverage,susceptible_generation_interval_rate,beta,22.75502743,65.75635698
rockland_low_coverage,partial_generation_interval_shape,norm,1.989396337,0.386632144
rockland_low_coverage,partial_generation_interval_rate,beta,15.73357161,57.27072884
rockland_high_coverage,prop_susceptible,beta,56.6827273,194.2053601
rockland_high_coverage,prop_refractory,beta,4.507568808,29.36552411
rockland_high_coverage,relative_infectiousness,beta,6.489419252,40.00114253
rockland_high_coverage,susceptible_generation_interval_shape,norm,2.467927309,0.42198749
rockland_high_coverage,susceptible_generation_interval_rate,beta,22.49432728,65.28735195
rockland_high_coverage,partial_generation_interval_shape,norm,1.976577614,0.389357422
rockland_high_coverage,partial_generation_interval_rate,beta,14.17092298,50.50430984
NYC,prop_susceptible,beta,100.478335,497.2138726
NYC,prop_refractory,beta,4.2057921,21.58856999
NYC,relative_infectiousness,beta,7.168756567,45.46443901
NYC,susceptible_generation_interval_shape,norm,2.469737938,0.414604721
NYC,susceptible_generation_interval_rate,beta,23.70955364,68.50560379
NYC,partial_generation_interval_shape,norm,1.970202423,0.397931043
NYC,partial_generation_interval_rate,beta,12.91467675,43.65674736
