scenario,model.parameter,distribution,par1,par2,mean,var
rockland_low_coverage,prop_susceptible,beta,23.3,34.6,0.403,0.00408
rockland_low_coverage,prop_refractory,beta,4.55,43.8,0.094,0.00172
rockland_low_coverage,relative_infectiousness,beta,5.9,32.8,0.153,0.00326
rockland_low_coverage,susceptible_generation_interval_shape,norm,2.47,0.423,2.47,0.423
rockland_low_coverage,susceptible_generation_interval_rate,beta,22.8,65.8,0.257,0.00213
rockland_low_coverage,partial_generation_interval_shape,norm,1.99,0.387,1.99,0.387
rockland_low_coverage,partial_generation_interval_rate,beta,15.7,57.3,0.216,0.00228
rockland_high_coverage,prop_susceptible,beta,56.7,194,0.226,6.94e-4
rockland_high_coverage,prop_refractory,beta,4.51,29.4,0.133,0.00331
rockland_high_coverage,relative_infectiousness,beta,6.49,40,0.14,0.00253
rockland_high_coverage,susceptible_generation_interval_shape,norm,2.47,0.422,2.47,0.422
rockland_high_coverage,susceptible_generation_interval_rate,beta,22.5,65.3,0.256,0.00215
rockland_high_coverage,partial_generation_interval_shape,norm,1.98,0.389,1.98,0.389
rockland_high_coverage,partial_generation_interval_rate,beta,14.2,50.5,0.219,0.00261
NYC,prop_susceptible,beta,100,497,0.168,2.34e-4
NYC,prop_refractory,beta,4.21,21.6,0.163,0.00509
NYC,relative_infectiousness,beta,7.17,45.5,0.136,0.00219
NYC,susceptible_generation_interval_shape,norm,2.47,0.415,2.47,0.415
NYC,susceptible_generation_interval_rate,beta,23.7,68.5,0.257,0.00205
NYC,partial_generation_interval_shape,norm,1.97,0.398,1.97,0.398
NYC,partial_generation_interval_rate,beta,12.9,43.7,0.228,0.00306
